game_number,payout,lifestyle_bonus,total_payout,lifestyle_bonuses,cards_drawn,draw_order,card_stack,suit_counts,life,wild,death,super_death,longest_suit_count,best_payout,best_payout_card_count
1481,0.6,0.0,0.6,0,3,"['life8', 'super_life2', 'death7']","{'suits': {1: [], 2: ['super_life2'], 3: [], 4: [], 5: [], 6: [], 7: ['death7'], 8: ['life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0}",2,0,1,0,1,0.6,"[life8, super_life2, death7]"
1482,1.2,0.1,1.3,1,5,"['life1', 'life10', 'super_life8', 'super_life10', 'death2']","{'suits': {1: ['life1'], 2: ['death2'], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['super_life8'], 9: [], 10: ['life10', 'super_life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 2}",4,0,1,0,2,1.2,"[life1, life10, super_life8, super_life10, death2]"
1483,1.1,0.0,1.1,0,4,"['super_life9', 'life8', 'super_life2', 'death4']","{'suits': {1: [], 2: ['super_life2'], 3: [], 4: ['death4'], 5: [], 6: [], 7: [], 8: ['life8'], 9: ['super_life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0}",3,0,1,0,1,1.1,"[super_life9, life8, super_life2, death4]"
1484,0.2,0.1,0.3,1,3,"['life9', 'life5', 'death9']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['life5'], 6: [], 7: [], 8: [], 9: ['life9', 'death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 2, 10: 0}",2,0,1,0,2,0.2,"[life9, life5, death9]"
1485,0.3,0.0,0.3,0,4,"['life4', 'life7', 'life6', 'death8']","{'suits': {1: [], 2: [], 3: [], 4: ['life4'], 5: [], 6: ['life6'], 7: ['life7'], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 1, 7: 1, 8: 1, 9: 0, 10: 0}",3,0,1,0,1,0.3,"[life4, life7, life6, death8]"
1486,0.0,0.0,0.0,0,1,['death5'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
1487,0.0,0.0,0.0,2,6,"['super_life7', 'wild', 'super_life8', 'life2', 'wild', 'super_death']","{'suits': {1: [], 2: ['life2'], 3: [], 4: [], 5: [], 6: [], 7: ['super_life7', 'wild'], 8: ['super_life8', 'wild'], 9: [], 10: []}, 'wilds': [], 'super_death': ['super_death']}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 2, 8: 2, 9: 0, 10: 0}",3,2,1,1,2,1.5,"[super_life7, wild, super_life8, life2, wild, super_death]"
1488,0.6,0.0,0.6,0,3,"['life8', 'super_life3', 'death7']","{'suits': {1: [], 2: [], 3: ['super_life3'], 4: [], 5: [], 6: [], 7: ['death7'], 8: ['life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0}",2,0,1,0,1,0.6,"[life8, super_life3, death7]"
1489,0.0,0.0,0.0,0,1,['death1'],"{'suits': {1: ['death1'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
1490,0.2,0.0,0.2,0,2,"['wild', 'death1']","{'suits': {1: ['death1'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': ['wild'], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,1,1,0,1,0.2,"[wild, death1]"
1491,0.6,0.0,0.6,0,7,"['life2', 'life4', 'life1', 'life5', 'life3', 'life10', 'death9']","{'suits': {1: ['life1'], 2: ['life2'], 3: ['life3'], 4: ['life4'], 5: ['life5'], 6: [], 7: [], 8: [], 9: ['death9'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 1, 10: 1}",6,0,1,0,1,0.6,"[life2, life4, life1, life5, life3, life10, death9]"
1492,0.2,0.0,0.2,0,3,"['life1', 'life5', 'death2']","{'suits': {1: ['life1'], 2: ['death2'], 3: [], 4: [], 5: ['life5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",2,0,1,0,1,0.2,"[life1, life5, death2]"
1493,0.0,0.0,0.0,0,1,['death4'],"{'suits': {1: [], 2: [], 3: [], 4: ['death4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
1494,0.2,0.0,0.2,0,3,"['life6', 'life8', 'death10']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['life6'], 7: [], 8: ['life8'], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 1, 9: 0, 10: 1}",2,0,1,0,1,0.2,"[life6, life8, death10]"
1495,0.0,0.0,0.0,0,1,['death6'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
1496,0.1,0.0,0.1,0,2,"['life4', 'death6']","{'suits': {1: [], 2: [], 3: [], 4: ['life4'], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",1,0,1,0,1,0.1,"[life4, death6]"
1497,0.2,0.0,0.2,0,3,"['life5', 'life10', 'death2']","{'suits': {1: [], 2: ['death2'], 3: [], 4: [], 5: ['life5'], 6: [], 7: [], 8: [], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",2,0,1,0,1,0.2,"[life5, life10, death2]"
1498,0.0,0.0,0.0,0,1,['death2'],"{'suits': {1: [], 2: ['death2'], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
1499,1.6,0.2,1.8,2,9,"['life7', 'life10', 'super_life8', 'life5', 'life2', 'life6', 'life5', 'super_life4', 'death2']","{'suits': {1: [], 2: ['life2', 'death2'], 3: [], 4: ['super_life4'], 5: ['life5', 'life5'], 6: ['life6'], 7: ['life7'], 8: ['super_life8'], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 0, 4: 1, 5: 2, 6: 1, 7: 1, 8: 1, 9: 0, 10: 1}",8,0,1,0,2,1.6,"[life7, life10, super_life8, life5, life2, life6, life5, super_life4, death2]"
1500,0.7,0.1,0.8,1,4,"['super_life10', 'life10', 'life6', 'death7']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['life6'], 7: ['death7'], 8: [], 9: [], 10: ['super_life10', 'life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 2}",3,0,1,0,2,0.7,"[super_life10, life10, life6, death7]"
1501,0.9,0.1,1.0,1,6,"['life2', 'life8', 'life2', 'super_life1', 'life10', 'death9']","{'suits': {1: ['super_life1'], 2: ['life2', 'life2'], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['life8'], 9: ['death9'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 2, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 1}",5,0,1,0,2,0.9,"[life2, life8, life2, super_life1, life10, death9]"
1502,0.1,0.0,0.1,0,2,"['life10', 'death8']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['death8'], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 1}",1,0,1,0,1,0.1,"[life10, death8]"
1503,0.5,0.0,0.5,0,2,"['super_life1', 'death7']","{'suits': {1: ['super_life1'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['death7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",1,0,1,0,1,0.5,"[super_life1, death7]"
1504,1.8,0.1,1.9,1,6,"['life10', 'super_wild', 'life9', 'life5', 'super_life8', 'death6']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['life5'], 6: ['death6'], 7: [], 8: ['super_life8'], 9: ['life9'], 10: ['life10', 'super_wild']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 1, 9: 1, 10: 2}",4,1,1,0,2,1.8,"[life10, super_wild, life9, life5, super_life8, death6]"
1505,0.0,0.0,0.0,0,1,['super_death'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': ['super_death']}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,1,0,0.0,0
1506,0.4,0.1,0.5,1,4,"['wild', 'life1', 'life10', 'death3']","{'suits': {1: ['life1', 'wild'], 2: [], 3: ['death3'], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 2, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",2,1,1,0,2,0.4,"[wild, life1, life10, death3]"
1507,0.8,0.5,1.3,1,4,"['life1', 'super_life7', 'wild', 'death1']","{'suits': {1: ['life1', 'death1', 'wild'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['super_life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",2,1,1,0,3,0.8,"[life1, super_life7, wild, death1]"
1508,0.0,0.0,0.0,0,1,['death7'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['death7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
1509,0.1,0.0,0.1,0,2,"['life10', 'death3']","{'suits': {1: [], 2: [], 3: ['death3'], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",1,0,1,0,1,0.1,"[life10, death3]"
1510,0.0,0.0,0.0,0,1,['death1'],"{'suits': {1: ['death1'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
1511,0.6,0.1,0.7,1,3,"['super_life2', 'life2', 'death9']","{'suits': {1: [], 2: ['super_life2', 'life2'], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: ['death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0}",2,0,1,0,2,0.6,"[super_life2, life2, death9]"
1512,0.6,0.1,0.7,1,3,"['life10', 'super_life5', 'death10']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['super_life5'], 6: [], 7: [], 8: [], 9: [], 10: ['life10', 'death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 2}",2,0,1,0,2,0.6,"[life10, super_life5, death10]"
1513,0.0,0.0,0.0,0,1,['death10'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",0,0,1,0,1,0.0,0
1514,0.6,0.1,0.7,1,3,"['life5', 'super_life2', 'death2']","{'suits': {1: [], 2: ['super_life2', 'death2'], 3: [], 4: [], 5: ['life5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",2,0,1,0,2,0.6,"[life5, super_life2, death2]"
1515,0.0,0.0,0.0,0,1,['death7'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['death7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
1516,0.0,0.0,0.0,0,1,['death7'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['death7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
1517,0.6,0.0,0.6,0,3,"['super_life9', 'life5', 'death3']","{'suits': {1: [], 2: [], 3: ['death3'], 4: [], 5: ['life5'], 6: [], 7: [], 8: [], 9: ['super_life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0}",2,0,1,0,1,0.6,"[super_life9, life5, death3]"
1518,2.4,1.1,3.5,3,11,"['super_life4', 'life4', 'wild', 'life2', 'super_life10', 'life3', 'life5', 'super_life2', 'wild', 'life9', 'death10']","{'suits': {1: [], 2: ['life2', 'super_life2', 'wild'], 3: ['life3'], 4: ['super_life4', 'life4', 'wild'], 5: ['life5'], 6: [], 7: [], 8: [], 9: ['life9'], 10: ['super_life10', 'death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 3, 3: 1, 4: 3, 5: 1, 6: 0, 7: 0, 8: 0, 9: 1, 10: 2}",8,2,1,0,3,2.4,"[super_life4, life4, wild, life2, super_life10, life3, life5, super_life2, wild, life9, death10]"
1519,1.9,0.7,2.6,3,11,"['life9', 'super_life2', 'life3', 'wild', 'life1', 'life5', 'super_life5', 'life4', 'life3', 'life10', 'death4']","{'suits': {1: ['life1'], 2: ['super_life2'], 3: ['life3', 'life3', 'wild'], 4: ['life4', 'death4'], 5: ['life5', 'super_life5'], 6: [], 7: [], 8: [], 9: ['life9'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 3, 4: 2, 5: 2, 6: 0, 7: 0, 8: 0, 9: 1, 10: 1}",9,1,1,0,3,1.9,"[life9, super_life2, life3, wild, life1, life5, super_life5, life4, life3, life10, death4]"
1520,1.3,0.1,1.4,1,5,"['life8', 'super_life1', 'super_life4', 'wild', 'death2']","{'suits': {1: ['super_life1'], 2: ['death2'], 3: [], 4: ['super_life4'], 5: [], 6: [], 7: [], 8: ['life8', 'wild'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0}",3,1,1,0,2,1.3,"[life8, super_life1, super_life4, wild, death2]"
1521,0.7,0.0,0.7,0,4,"['super_life4', 'life3', 'life2', 'death5']","{'suits': {1: [], 2: ['life2'], 3: ['life3'], 4: ['super_life4'], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 1, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",3,0,1,0,1,0.7,"[super_life4, life3, life2, death5]"
1522,2.3,0.1,2.4,1,8,"['super_life8', 'life8', 'super_life1', 'super_life9', 'life4', 'super_life5', 'life10', 'death6']","{'suits': {1: ['super_life1'], 2: [], 3: [], 4: ['life4'], 5: ['super_life5'], 6: ['death6'], 7: [], 8: ['super_life8', 'life8'], 9: ['super_life9'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 1, 5: 1, 6: 1, 7: 0, 8: 2, 9: 1, 10: 1}",7,0,1,0,2,2.3,"[super_life8, life8, super_life1, super_life9, life4, super_life5, life10, death6]"
1523,0.0,0.0,0.0,0,5,"['life7', 'super_life10', 'life9', 'life1', 'super_death']","{'suits': {1: ['life1'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['life7'], 8: [], 9: ['life9'], 10: ['super_life10']}, 'wilds': [], 'super_death': ['super_death']}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 1, 10: 1}",4,0,1,1,1,0.8,"[life7, super_life10, life9, life1, super_death]"
1524,0.1,0.0,0.1,0,2,"['life10', 'death2']","{'suits': {1: [], 2: ['death2'], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",1,0,1,0,1,0.1,"[life10, death2]"
1525,0.0,0.0,0.0,0,1,['death10'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",0,0,1,0,1,0.0,0
1526,0.8,0.1,0.9,1,5,"['life7', 'life6', 'super_life6', 'life3', 'death10']","{'suits': {1: [], 2: [], 3: ['life3'], 4: [], 5: [], 6: ['life6', 'super_life6'], 7: ['life7'], 8: [], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1, 8: 0, 9: 0, 10: 1}",4,0,1,0,2,0.8,"[life7, life6, super_life6, life3, death10]"
1527,1.2,0.0,1.2,0,5,"['life9', 'life10', 'super_life7', 'super_life5', 'death8']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['super_life5'], 6: [], 7: ['super_life7'], 8: ['death8'], 9: ['life9'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 1, 8: 1, 9: 1, 10: 1}",4,0,1,0,1,1.2,"[life9, life10, super_life7, super_life5, death8]"
1528,0.3,0.0,0.3,0,4,"['life8', 'life5', 'life10', 'death3']","{'suits': {1: [], 2: [], 3: ['death3'], 4: [], 5: ['life5'], 6: [], 7: [], 8: ['life8'], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 1}",3,0,1,0,1,0.3,"[life8, life5, life10, death3]"
1529,0.0,0.0,0.0,0,1,['death8'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
1530,0.0,0.0,0.0,0,1,['death5'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
1531,0.8,0.0,0.8,0,5,"['life3', 'life6', 'life7', 'super_life10', 'death5']","{'suits': {1: [], 2: [], 3: ['life3'], 4: [], 5: ['death5'], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: ['super_life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 1, 6: 1, 7: 1, 8: 0, 9: 0, 10: 1}",4,0,1,0,1,0.8,"[life3, life6, life7, super_life10, death5]"
1532,0.3,0.0,0.3,0,4,"['life7', 'life2', 'life6', 'death10']","{'suits': {1: [], 2: ['life2'], 3: [], 4: [], 5: [], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 1}",3,0,1,0,1,0.3,"[life7, life2, life6, death10]"
1533,0.2,0.0,0.2,0,3,"['life6', 'life3', 'death2']","{'suits': {1: [], 2: ['death2'], 3: ['life3'], 4: [], 5: [], 6: ['life6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 1, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",2,0,1,0,1,0.2,"[life6, life3, death2]"
1534,1.0,0.0,1.0,0,3,"['super_life1', 'super_life10', 'death6']","{'suits': {1: ['super_life1'], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: ['super_life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 1}",2,0,1,0,1,1.0,"[super_life1, super_life10, death6]"
1535,0.2,0.1,0.3,1,3,"['life3', 'life6', 'death3']","{'suits': {1: [], 2: [], 3: ['life3', 'death3'], 4: [], 5: [], 6: ['life6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 2, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",2,0,1,0,2,0.2,"[life3, life6, death3]"
1536,0.0,0.0,0.0,0,1,['death2'],"{'suits': {1: [], 2: ['death2'], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
1537,0.0,0.0,0.0,0,1,['death5'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
1538,0.6,0.1,0.7,1,3,"['super_life10', 'life10', 'death1']","{'suits': {1: ['death1'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['super_life10', 'life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 2}",2,0,1,0,2,0.6,"[super_life10, life10, death1]"
1539,0.1,0.0,0.1,0,2,"['life9', 'death3']","{'suits': {1: [], 2: [], 3: ['death3'], 4: [], 5: [], 6: [], 7: [], 8: [], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0}",1,0,1,0,1,0.1,"[life9, death3]"
1540,0.3,0.1,0.4,1,4,"['life5', 'life1', 'life4', 'death1']","{'suits': {1: ['life1', 'death1'], 2: [], 3: [], 4: ['life4'], 5: ['life5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 2, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",3,0,1,0,2,0.3,"[life5, life1, life4, death1]"
1541,0.0,0.0,0.0,0,1,['death9'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: ['death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0}",0,0,1,0,1,0.0,0
1542,0.0,0.0,0.0,1,5,"['super_wild', 'life8', 'life8', 'life3', 'super_death']","{'suits': {1: [], 2: [], 3: ['life3'], 4: [], 5: [], 6: [], 7: [], 8: ['life8', 'life8', 'super_wild'], 9: [], 10: []}, 'wilds': [], 'super_death': ['super_death']}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0}",3,1,1,1,3,1.3,"[super_wild, life8, life8, life3, super_death]"
1543,0.6,0.1,0.7,1,3,"['life2', 'super_life10', 'death2']","{'suits': {1: [], 2: ['life2', 'death2'], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['super_life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",2,0,1,0,2,0.6,"[life2, super_life10, death2]"
