game_number,payout,lifestyle_bonus,total_payout,lifestyle_bonuses,cards_drawn,draw_order,card_stack,suit_counts,life,wild,death,super_death,longest_suit_count,best_payout,best_payout_card_count
11,2.8,1.1,3.9,3,13,"['life9', 'life10', 'super_life2', 'life5', 'life2', 'life2', 'super_life10', 'life3', 'life10', 'super_life7', 'life8', 'super_life6', 'death6']","{'suits': {1: [], 2: ['super_life2', 'life2', 'life2'], 3: ['life3'], 4: [], 5: ['life5'], 6: ['super_life6', 'death6'], 7: ['super_life7'], 8: ['life8'], 9: ['life9'], 10: ['life10', 'super_life10', 'life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 3, 3: 1, 4: 0, 5: 1, 6: 2, 7: 1, 8: 1, 9: 1, 10: 3}",12,0,1,0,3,2.8,"[life9, life10, super_life2, life5, life2, life2, super_life10, life3, life10, super_life7, life8, super_life6, death6]"
12,0.0,0.0,0.0,0,1,['death3'],"{'suits': {1: [], 2: [], 3: ['death3'], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
13,2.2,1.2,3.4,4,14,"['life7', 'life5', 'life3', 'life9', 'life3', 'life9', 'life2', 'super_life6', 'wild', 'life10', 'life10', 'super_life8', 'life5', 'death9']","{'suits': {1: [], 2: ['life2'], 3: ['life3', 'life3'], 4: [], 5: ['life5', 'life5', 'wild'], 6: ['super_life6'], 7: ['life7'], 8: ['super_life8'], 9: ['life9', 'life9', 'death9'], 10: ['life10', 'life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 2, 4: 0, 5: 3, 6: 1, 7: 1, 8: 1, 9: 3, 10: 2}",12,1,1,0,3,2.2,"[life7, life5, life3, life9, life3, life9, life2, super_life6, wild, life10, life10, super_life8, life5, death9]"
14,0.2,0.0,0.2,0,3,"['life6', 'life2', 'death9']","{'suits': {1: [], 2: ['life2'], 3: [], 4: [], 5: [], 6: ['life6'], 7: [], 8: [], 9: ['death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 1, 10: 0}",2,0,1,0,1,0.2,"[life6, life2, death9]"
15,0.0,0.0,0.0,0,1,['death8'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
16,1.6,0.6,2.2,2,9,"['super_life10', 'life9', 'super_life5', 'life8', 'life10', 'life5', 'life10', 'life4', 'death3']","{'suits': {1: [], 2: [], 3: ['death3'], 4: ['life4'], 5: ['super_life5', 'life5'], 6: [], 7: [], 8: ['life8'], 9: ['life9'], 10: ['super_life10', 'life10', 'life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 1, 5: 2, 6: 0, 7: 0, 8: 1, 9: 1, 10: 3}",8,0,1,0,3,1.6,"[super_life10, life9, super_life5, life8, life10, life5, life10, life4, death3]"
17,0.8,0.0,0.8,0,5,"['life5', 'life9', 'super_life6', 'life1', 'death3']","{'suits': {1: ['life1'], 2: [], 3: ['death3'], 4: [], 5: ['life5'], 6: ['super_life6'], 7: [], 8: [], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 1, 4: 0, 5: 1, 6: 1, 7: 0, 8: 0, 9: 1, 10: 0}",4,0,1,0,1,0.8,"[life5, life9, super_life6, life1, death3]"
18,1.2,0.2,1.4,2,4,"['life7', 'super_wild', 'life9', 'death9']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['life7', 'super_wild'], 8: [], 9: ['life9', 'death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 2, 8: 0, 9: 2, 10: 0}",2,1,1,0,2,1.2,"[life7, super_wild, life9, death9]"
19,0.0,0.0,0.0,1,4,"['life1', 'life10', 'wild', 'super_death']","{'suits': {1: ['life1', 'wild'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': ['super_death']}","{1: 2, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",2,1,1,1,2,0.4,"[life1, life10, wild, super_death]"
20,1.2,0.2,1.4,2,9,"['life8', 'life6', 'life4', 'life3', 'life7', 'super_life2', 'life2', 'life8', 'death10']","{'suits': {1: [], 2: ['super_life2', 'life2'], 3: ['life3'], 4: ['life4'], 5: [], 6: ['life6'], 7: ['life7'], 8: ['life8', 'life8'], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 1, 4: 1, 5: 0, 6: 1, 7: 1, 8: 2, 9: 0, 10: 1}",8,0,1,0,2,1.2,"[life8, life6, life4, life3, life7, super_life2, life2, life8, death10]"
21,1.8,0.6,2.4,2,7,"['super_life2', 'super_life3', 'super_life5', 'life5', 'life8', 'life3', 'death5']","{'suits': {1: [], 2: ['super_life2'], 3: ['super_life3', 'life3'], 4: [], 5: ['super_life5', 'life5', 'death5'], 6: [], 7: [], 8: ['life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 2, 4: 0, 5: 3, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",6,0,1,0,3,1.8,"[super_life2, super_life3, super_life5, life5, life8, life3, death5]"
22,1.3,0.1,1.4,1,6,"['super_life6', 'life3', 'life5', 'life2', 'super_life3', 'death4']","{'suits': {1: [], 2: ['life2'], 3: ['life3', 'super_life3'], 4: ['death4'], 5: ['life5'], 6: ['super_life6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 2, 4: 1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",5,0,1,0,2,1.3,"[super_life6, life3, life5, life2, super_life3, death4]"
23,0.3,0.0,0.3,0,4,"['life9', 'life2', 'life7', 'death6']","{'suits': {1: [], 2: ['life2'], 3: [], 4: [], 5: [], 6: ['death6'], 7: ['life7'], 8: [], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0, 9: 1, 10: 0}",3,0,1,0,1,0.3,"[life9, life2, life7, death6]"
24,0.5,0.1,0.6,1,6,"['life5', 'life4', 'life3', 'life9', 'life2', 'death4']","{'suits': {1: [], 2: ['life2'], 3: ['life3'], 4: ['life4', 'death4'], 5: ['life5'], 6: [], 7: [], 8: [], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 1, 4: 2, 5: 1, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0}",5,0,1,0,2,0.5,"[life5, life4, life3, life9, life2, death4]"
25,2.2,0.4,2.6,4,11,"['life10', 'life7', 'life7', 'super_life4', 'life9', 'life4', 'super_life3', 'super_life5', 'life8', 'life8', 'death9']","{'suits': {1: [], 2: [], 3: ['super_life3'], 4: ['super_life4', 'life4'], 5: ['super_life5'], 6: [], 7: ['life7', 'life7'], 8: ['life8', 'life8'], 9: ['life9', 'death9'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 2, 5: 1, 6: 0, 7: 2, 8: 2, 9: 2, 10: 1}",10,0,1,0,2,2.2,"[life10, life7, life7, super_life4, life9, life4, super_life3, super_life5, life8, life8, death9]"
26,0.1,0.0,0.1,0,2,"['life10', 'death4']","{'suits': {1: [], 2: [], 3: [], 4: ['death4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",1,0,1,0,1,0.1,"[life10, death4]"
27,0.2,0.0,0.2,0,3,"['life8', 'life1', 'death3']","{'suits': {1: ['life1'], 2: [], 3: ['death3'], 4: [], 5: [], 6: [], 7: [], 8: ['life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",2,0,1,0,1,0.2,"[life8, life1, death3]"
28,0.6,0.0,0.6,0,3,"['life8', 'super_life1', 'death10']","{'suits': {1: ['super_life1'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['life8'], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 1}",2,0,1,0,1,0.6,"[life8, super_life1, death10]"
29,0.5,0.0,0.5,0,2,"['super_life1', 'death6']","{'suits': {1: ['super_life1'], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",1,0,1,0,1,0.5,"[super_life1, death6]"
30,0.9,0.1,1.0,1,6,"['life1', 'life2', 'super_life7', 'life8', 'life7', 'death3']","{'suits': {1: ['life1'], 2: ['life2'], 3: ['death3'], 4: [], 5: [], 6: [], 7: ['super_life7', 'life7'], 8: ['life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 1, 4: 0, 5: 0, 6: 0, 7: 2, 8: 1, 9: 0, 10: 0}",5,0,1,0,2,0.9,"[life1, life2, super_life7, life8, life7, death3]"
31,3.2,6.4,9.6,7,20,"['wild', 'super_life4', 'life7', 'super_life5', 'life1', 'life9', 'life4', 'life2', 'life1', 'life3', 'super_life6', 'life3', 'life6', 'life4', 'life7', 'life5', 'life2', 'life5', 'life4', 'death6']","{'suits': {1: ['life1', 'life1'], 2: ['life2', 'life2'], 3: ['life3', 'life3'], 4: ['super_life4', 'life4', 'life4', 'life4', 'wild'], 5: ['super_life5', 'life5', 'life5'], 6: ['super_life6', 'life6', 'death6'], 7: ['life7', 'life7'], 8: [], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 2, 2: 2, 3: 2, 4: 5, 5: 3, 6: 3, 7: 2, 8: 0, 9: 1, 10: 0}",18,1,1,0,5,3.2,"[wild, super_life4, life7, super_life5, life1, life9, life4, life2, life1, life3, super_life6, life3, life6, life4, life7, life5, life2, life5, life4, death6]"
