player,game_number,bet,payout,lifestyle_bonus,total_payout,lifestyle_bonuses,total_return,available_bank,cards_drawn,draw_order,card_stack,suit_counts,life,wild,death,super_death,longest_suit_count,simulation_payout,simulation_return,simulation_bank
p50,2,50,0.2,0.1,0.3,1,15.0,99975.0,3,"['life5', 'life4', 'death5']","{'suits': {1: [], 2: [], 3: [], 4: ['life4'], 5: ['life5', 'death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",2,0,1,0,2,1.2,60.0,100065.0
p100,2,100,0.2,0.1,0.3,1,30.0,99950.0,3,"['life5', 'life4', 'death5']","{'suits': {1: [], 2: [], 3: [], 4: ['life4'], 5: ['life5', 'death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",2,0,1,0,2,1.2,120.0,100130.0
p250,2,250,0.2,0.1,0.3,1,75.0,99875.0,3,"['life5', 'life4', 'death5']","{'suits': {1: [], 2: [], 3: [], 4: ['life4'], 5: ['life5', 'death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",2,0,1,0,2,1.2,300.0,100325.0
p10,3,10,0.2,0.0,0.2,0,2.0,99997.0,2,"['wild', 'death5']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': ['wild'], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,1,1,0,1,1.2,12.0,100025.0
p20,3,20,0.2,0.0,0.2,0,4.0,99994.0,2,"['wild', 'death5']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': ['wild'], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,1,1,0,1,1.2,24.0,100050.0
p50,3,50,0.2,0.0,0.2,0,10.0,99985.0,2,"['wild', 'death5']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': ['wild'], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,1,1,0,1,1.2,60.0,100125.0
p100,3,100,0.2,0.0,0.2,0,20.0,99970.0,2,"['wild', 'death5']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': ['wild'], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,1,1,0,1,1.2,120.0,100250.0
p250,3,250,0.2,0.0,0.2,0,50.0,99925.0,2,"['wild', 'death5']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': ['wild'], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,1,1,0,1,1.2,300.0,100625.0
p10,4,10,0.3,0.0,0.3,0,3.0,100000.0,4,"['life2', 'life7', 'life6', 'death4']","{'suits': {1: [], 2: ['life2'], 3: [], 4: ['death4'], 5: [], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",3,0,1,0,1,1.3,13.0,100038.0
p20,4,20,0.3,0.0,0.3,0,6.0,100000.0,4,"['life2', 'life7', 'life6', 'death4']","{'suits': {1: [], 2: ['life2'], 3: [], 4: ['death4'], 5: [], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",3,0,1,0,1,1.3,26.0,100076.0
p50,4,50,0.3,0.0,0.3,0,15.0,100000.0,4,"['life2', 'life7', 'life6', 'death4']","{'suits': {1: [], 2: ['life2'], 3: [], 4: ['death4'], 5: [], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",3,0,1,0,1,1.3,65.0,100190.0
p100,4,100,0.3,0.0,0.3,0,30.0,100000.0,4,"['life2', 'life7', 'life6', 'death4']","{'suits': {1: [], 2: ['life2'], 3: [], 4: ['death4'], 5: [], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",3,0,1,0,1,1.3,130.0,100380.0
p250,4,250,0.3,0.0,0.3,0,75.0,100000.0,4,"['life2', 'life7', 'life6', 'death4']","{'suits': {1: [], 2: ['life2'], 3: [], 4: ['death4'], 5: [], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",3,0,1,0,1,1.3,325.0,100950.0
