game_number,payout,lifestyle_bonus,total_payout,lifestyle_bonuses,cards_drawn,draw_order,card_stack,suit_counts,life,wild,death,super_death,longest_suit_count
0,0.0,0.0,0.0,1,8,"['life9', 'life1', 'life4', 'life6', 'life9', 'life3', 'life8', 'super_death']","{'suits': {1: ['life1'], 2: [], 3: ['life3'], 4: ['life4'], 5: [], 6: ['life6'], 7: [], 8: ['life8'], 9: ['life9', 'life9'], 10: []}, 'wilds': [], 'super_death': ['super_death']}","{1: 1, 2: 0, 3: 1, 4: 1, 5: 0, 6: 1, 7: 0, 8: 1, 9: 2, 10: 0}",7,0,1,1,2
1,0.0,0.0,0.0,0,1,['death5'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
2,0.7,0.1,0.8,1,4,"['life9', 'super_life7', 'life6', 'death6']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['life6', 'death6'], 7: ['super_life7'], 8: [], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 2, 7: 1, 8: 0, 9: 1, 10: 0}",3,0,1,0,2
3,0.1,0.0,0.1,0,2,"['life6', 'death8']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['life6'], 7: [], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 1, 9: 0, 10: 0}",1,0,1,0,1
4,0.5,0.0,0.5,0,2,"['super_life9', 'death6']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: ['super_life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 1, 10: 0}",1,0,1,0,1
5,0.0,0.0,0.0,0,1,['death4'],"{'suits': {1: [], 2: [], 3: [], 4: ['death4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
6,0.0,0.0,0.0,0,1,['super_death'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': ['super_death']}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,1,0
7,0.0,0.0,0.0,0,1,['death3'],"{'suits': {1: [], 2: [], 3: ['death3'], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
8,0.2,0.1,0.3,1,3,"['life6', 'life1', 'death1']","{'suits': {1: ['life1', 'death1'], 2: [], 3: [], 4: [], 5: [], 6: ['life6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 2, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",2,0,1,0,2
9,0.9,0.1,1.0,1,6,"['life3', 'life7', 'life2', 'super_life10', 'life1', 'death7']","{'suits': {1: ['life1'], 2: ['life2'], 3: ['life3'], 4: [], 5: [], 6: [], 7: ['life7', 'death7'], 8: [], 9: [], 10: ['super_life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 1, 4: 0, 5: 0, 6: 0, 7: 2, 8: 0, 9: 0, 10: 1}",5,0,1,0,2
10,0.5,0.5,1.0,1,5,"['life7', 'life9', 'wild', 'life8', 'death7']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['life7', 'death7', 'wild'], 8: ['life8'], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 3, 8: 1, 9: 1, 10: 0}",3,1,1,0,3
11,0.0,0.0,0.0,0,5,"['life4', 'life2', 'super_life9', 'life6', 'super_death']","{'suits': {1: [], 2: ['life2'], 3: [], 4: ['life4'], 5: [], 6: ['life6'], 7: [], 8: [], 9: ['super_life9'], 10: []}, 'wilds': [], 'super_death': ['super_death']}","{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 1, 7: 0, 8: 0, 9: 1, 10: 0}",4,0,1,1,1
12,1.7,0.2,1.9,2,9,"['life8', 'life7', 'life1', 'super_life9', 'super_life5', 'life4', 'life6', 'wild', 'death6']","{'suits': {1: ['life1'], 2: [], 3: [], 4: ['life4'], 5: ['super_life5'], 6: ['life6', 'death6'], 7: ['life7'], 8: ['life8', 'wild'], 9: ['super_life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 1, 5: 1, 6: 2, 7: 1, 8: 2, 9: 1, 10: 0}",7,1,1,0,2
13,1.3,1.1,2.4,2,9,"['life7', 'life1', 'life1', 'super_life10', 'life6', 'life7', 'life2', 'wild', 'death7']","{'suits': {1: ['life1', 'life1'], 2: ['life2'], 3: [], 4: [], 5: [], 6: ['life6'], 7: ['life7', 'life7', 'death7', 'wild'], 8: [], 9: [], 10: ['super_life10']}, 'wilds': [], 'super_death': []}","{1: 2, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 4, 8: 0, 9: 0, 10: 1}",7,1,1,0,4
14,0.0,0.0,0.0,0,1,['death2'],"{'suits': {1: [], 2: ['death2'], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
15,0.0,0.0,0.0,0,1,['death4'],"{'suits': {1: [], 2: [], 3: [], 4: ['death4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
16,0.5,0.1,0.6,1,2,"['super_life9', 'death9']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: ['super_life9', 'death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 2, 10: 0}",1,0,1,0,2
17,1.3,0.2,1.5,2,5,"['super_life4', 'wild', 'life8', 'super_life2', 'death8']","{'suits': {1: [], 2: ['super_life2'], 3: [], 4: ['super_life4', 'wild'], 5: [], 6: [], 7: [], 8: ['life8', 'death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0}",3,1,1,0,2
18,2.2,0.2,2.4,2,7,"['life10', 'super_life3', 'super_life10', 'life2', 'super_life1', 'super_life5', 'death5']","{'suits': {1: ['super_life1'], 2: ['life2'], 3: ['super_life3'], 4: [], 5: ['super_life5', 'death5'], 6: [], 7: [], 8: [], 9: [], 10: ['life10', 'super_life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 1, 4: 0, 5: 2, 6: 0, 7: 0, 8: 0, 9: 0, 10: 2}",6,0,1,0,2
19,0.1,0.0,0.1,0,2,"['life4', 'death10']","{'suits': {1: [], 2: [], 3: [], 4: ['life4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",1,0,1,0,1
20,0.0,0.0,0.0,0,1,['death3'],"{'suits': {1: [], 2: [], 3: ['death3'], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
21,0.0,0.0,0.0,0,1,['death6'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
22,1.2,0.1,1.3,1,5,"['super_life3', 'life5', 'super_life4', 'life10', 'death3']","{'suits': {1: [], 2: [], 3: ['super_life3', 'death3'], 4: ['super_life4'], 5: ['life5'], 6: [], 7: [], 8: [], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 2, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",4,0,1,0,2
23,1.6,0.1,1.7,1,8,"['life6', 'super_wild', 'life10', 'life7', 'life9', 'life2', 'life1', 'death8']","{'suits': {1: ['life1'], 2: ['life2'], 3: [], 4: [], 5: [], 6: ['life6', 'super_wild'], 7: ['life7'], 8: ['death8'], 9: ['life9'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 0, 4: 0, 5: 0, 6: 2, 7: 1, 8: 1, 9: 1, 10: 1}",6,1,1,0,2
24,2.5,1.6,4.1,4,14,"['life1', 'life4', 'life9', 'life8', 'life6', 'life1', 'life9', 'life6', 'super_life3', 'super_life1', 'life5', 'super_life9', 'life3', 'death3']","{'suits': {1: ['life1', 'life1', 'super_life1'], 2: [], 3: ['super_life3', 'life3', 'death3'], 4: ['life4'], 5: ['life5'], 6: ['life6', 'life6'], 7: [], 8: ['life8'], 9: ['life9', 'life9', 'super_life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 3, 2: 0, 3: 3, 4: 1, 5: 1, 6: 2, 7: 0, 8: 1, 9: 3, 10: 0}",13,0,1,0,3
25,0.4,0.2,0.6,2,4,"['life10', 'wild', 'life8', 'death8']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['life8', 'death8'], 9: [], 10: ['life10', 'wild']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 2}",2,1,1,0,2
26,4.3,1.5,5.8,2,14,"['super_life4', 'life2', 'life1', 'super_life6', 'super_life3', 'wild', 'life2', 'super_wild', 'life7', 'super_life9', 'life5', 'life5', 'super_life10', 'death2']","{'suits': {1: ['life1'], 2: ['life2', 'life2', 'death2', 'wild'], 3: ['super_life3'], 4: ['super_life4'], 5: ['life5', 'life5', 'super_wild'], 6: ['super_life6'], 7: ['life7'], 8: [], 9: ['super_life9'], 10: ['super_life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 4, 3: 1, 4: 1, 5: 3, 6: 1, 7: 1, 8: 0, 9: 1, 10: 1}",11,2,1,0,4
27,1.7,0.1,1.8,1,6,"['super_life9', 'life1', 'life6', 'super_life7', 'super_life1', 'death8']","{'suits': {1: ['life1', 'super_life1'], 2: [], 3: [], 4: [], 5: [], 6: ['life6'], 7: ['super_life7'], 8: ['death8'], 9: ['super_life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 2, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1, 8: 1, 9: 1, 10: 0}",5,0,1,0,2
28,0.0,0.0,0.0,0,1,['death6'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
29,0.0,0.0,0.0,0,1,['death9'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: ['death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0}",0,0,1,0,1
30,0.1,0.0,0.1,0,2,"['life8', 'death3']","{'suits': {1: [], 2: [], 3: ['death3'], 4: [], 5: [], 6: [], 7: [], 8: ['life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",1,0,1,0,1
31,0.0,0.0,0.0,0,1,['death4'],"{'suits': {1: [], 2: [], 3: [], 4: ['death4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
32,0.2,0.0,0.2,0,3,"['life5', 'life9', 'death8']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['life5'], 6: [], 7: [], 8: ['death8'], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0}",2,0,1,0,1
33,1.3,0.1,1.4,1,5,"['super_wild', 'life5', 'life6', 'life8', 'death1']","{'suits': {1: ['death1'], 2: [], 3: [], 4: [], 5: ['life5', 'super_wild'], 6: ['life6'], 7: [], 8: ['life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 2, 6: 1, 7: 0, 8: 1, 9: 0, 10: 0}",3,1,1,0,2
34,0.3,0.0,0.3,0,4,"['life6', 'life1', 'life9', 'death10']","{'suits': {1: ['life1'], 2: [], 3: [], 4: [], 5: [], 6: ['life6'], 7: [], 8: [], 9: ['life9'], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 1, 10: 1}",3,0,1,0,1
35,0.0,0.0,0.0,0,1,['death3'],"{'suits': {1: [], 2: [], 3: ['death3'], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
36,0.4,0.1,0.5,1,4,"['wild', 'life2', 'life6', 'death8']","{'suits': {1: [], 2: ['life2', 'wild'], 3: [], 4: [], 5: [], 6: ['life6'], 7: [], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 1, 9: 0, 10: 0}",2,1,1,0,2
37,0.3,0.0,0.3,0,4,"['life4', 'life7', 'life6', 'death1']","{'suits': {1: ['death1'], 2: [], 3: [], 4: ['life4'], 5: [], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 1, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",3,0,1,0,1
38,0.1,0.0,0.1,0,2,"['life6', 'death5']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: ['life6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",1,0,1,0,1
39,0.0,0.0,0.0,1,7,"['life1', 'super_life6', 'life6', 'life9', 'life6', 'life5', 'super_death']","{'suits': {1: ['life1'], 2: [], 3: [], 4: [], 5: ['life5'], 6: ['super_life6', 'life6', 'life6'], 7: [], 8: [], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': ['super_death']}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 1, 6: 3, 7: 0, 8: 0, 9: 1, 10: 0}",6,0,1,1,3
40,0.3,0.1,0.4,1,4,"['life8', 'life8', 'life5', 'death4']","{'suits': {1: [], 2: [], 3: [], 4: ['death4'], 5: ['life5'], 6: [], 7: [], 8: ['life8', 'life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0}",3,0,1,0,2
41,0.2,0.0,0.2,0,2,"['wild', 'death5']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': ['wild'], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,1,1,0,1
42,0.1,0.0,0.1,0,2,"['life7', 'death1']","{'suits': {1: ['death1'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",1,0,1,0,1
43,0.0,0.0,0.0,1,6,"['life4', 'life2', 'super_life2', 'life9', 'life1', 'super_death']","{'suits': {1: ['life1'], 2: ['life2', 'super_life2'], 3: [], 4: ['life4'], 5: [], 6: [], 7: [], 8: [], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': ['super_death']}","{1: 1, 2: 2, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0}",5,0,1,1,2
44,1.3,0.6,1.9,2,10,"['life2', 'life1', 'life8', 'life2', 'life4', 'super_life6', 'life6', 'life7', 'life9', 'death2']","{'suits': {1: ['life1'], 2: ['life2', 'life2', 'death2'], 3: [], 4: ['life4'], 5: [], 6: ['super_life6', 'life6'], 7: ['life7'], 8: ['life8'], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 3, 3: 0, 4: 1, 5: 0, 6: 2, 7: 1, 8: 1, 9: 1, 10: 0}",9,0,1,0,3
45,3.3,2.1,5.4,3,16,"['life8', 'life5', 'super_life1', 'life4', 'life9', 'super_life6', 'life9', 'life7', 'life10', 'super_life3', 'wild', 'life1', 'wild', 'super_life7', 'life9', 'death1']","{'suits': {1: ['super_life1', 'life1', 'death1', 'wild'], 2: [], 3: ['super_life3'], 4: ['life4'], 5: ['life5'], 6: ['super_life6'], 7: ['life7', 'super_life7'], 8: ['life8'], 9: ['life9', 'life9', 'life9', 'wild'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 4, 2: 0, 3: 1, 4: 1, 5: 1, 6: 1, 7: 2, 8: 1, 9: 4, 10: 1}",13,2,1,0,4
46,0.4,0.0,0.4,0,5,"['life4', 'life7', 'life3', 'life5', 'death6']","{'suits': {1: [], 2: [], 3: ['life3'], 4: ['life4'], 5: ['life5'], 6: ['death6'], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",4,0,1,0,1
47,0.3,0.0,0.3,0,4,"['life4', 'life1', 'life10', 'death2']","{'suits': {1: ['life1'], 2: ['death2'], 3: [], 4: ['life4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",3,0,1,0,1
48,1.1,0.5,1.6,1,7,"['life8', 'life2', 'life7', 'life2', 'wild', 'super_life1', 'death9']","{'suits': {1: ['super_life1'], 2: ['life2', 'life2', 'wild'], 3: [], 4: [], 5: [], 6: [], 7: ['life7'], 8: ['life8'], 9: ['death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 3, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0}",5,1,1,0,3
49,0.1,0.0,0.1,0,2,"['life4', 'death3']","{'suits': {1: [], 2: [], 3: ['death3'], 4: ['life4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",1,0,1,0,1
50,1.5,0.2,1.7,2,8,"['super_life7', 'life4', 'life3', 'life2', 'super_life4', 'life6', 'life2', 'death5']","{'suits': {1: [], 2: ['life2', 'life2'], 3: ['life3'], 4: ['life4', 'super_life4'], 5: ['death5'], 6: ['life6'], 7: ['super_life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 1, 4: 2, 5: 1, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",7,0,1,0,2
51,0.0,0.0,0.0,0,1,['death7'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['death7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
52,1.1,0.1,1.2,1,3,"['super_wild', 'life4', 'death2']","{'suits': {1: [], 2: ['death2'], 3: [], 4: ['life4', 'super_wild'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",1,1,1,0,2
53,0.9,0.1,1.0,1,6,"['life7', 'super_life8', 'life9', 'life6', 'life4', 'death9']","{'suits': {1: [], 2: [], 3: [], 4: ['life4'], 5: [], 6: ['life6'], 7: ['life7'], 8: ['super_life8'], 9: ['life9', 'death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 1, 7: 1, 8: 1, 9: 2, 10: 0}",5,0,1,0,2
54,0.2,0.0,0.2,0,3,"['life5', 'life7', 'death10']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['life5'], 6: [], 7: ['life7'], 8: [], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 1, 8: 0, 9: 0, 10: 1}",2,0,1,0,1
55,1.2,0.0,1.2,0,5,"['super_life7', 'life4', 'life1', 'super_life8', 'death3']","{'suits': {1: ['life1'], 2: [], 3: ['death3'], 4: ['life4'], 5: [], 6: [], 7: ['super_life7'], 8: ['super_life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0}",4,0,1,0,1
56,1.6,0.6,2.2,2,9,"['super_life4', 'life1', 'life9', 'super_life9', 'life9', 'life10', 'life5', 'life8', 'death8']","{'suits': {1: ['life1'], 2: [], 3: [], 4: ['super_life4'], 5: ['life5'], 6: [], 7: [], 8: ['life8', 'death8'], 9: ['life9', 'super_life9', 'life9'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 2, 9: 3, 10: 1}",8,0,1,0,3
57,3.0,0.8,3.8,4,14,"['life1', 'super_wild', 'life10', 'life7', 'life2', 'life5', 'life6', 'life3', 'super_life9', 'super_life7', 'life4', 'life5', 'life6', 'death3']","{'suits': {1: ['life1'], 2: ['life2'], 3: ['life3', 'death3'], 4: ['life4'], 5: ['life5', 'life5'], 6: ['life6', 'life6'], 7: ['life7', 'super_life7', 'super_wild'], 8: [], 9: ['super_life9'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 2, 4: 1, 5: 2, 6: 2, 7: 3, 8: 0, 9: 1, 10: 1}",12,1,1,0,3
58,0.0,0.0,0.0,0,1,['death1'],"{'suits': {1: ['death1'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
59,0.0,0.0,0.0,0,1,['death1'],"{'suits': {1: ['death1'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
60,0.3,0.1,0.4,1,4,"['life9', 'life10', 'life6', 'death6']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['life6', 'death6'], 7: [], 8: [], 9: ['life9'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 2, 7: 0, 8: 0, 9: 1, 10: 1}",3,0,1,0,2
61,0.1,0.0,0.1,0,2,"['life9', 'death10']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: ['life9'], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 1}",1,0,1,0,1
62,1.0,0.6,1.6,2,7,"['life10', 'super_life10', 'life9', 'life10', 'life7', 'life3', 'death3']","{'suits': {1: [], 2: [], 3: ['life3', 'death3'], 4: [], 5: [], 6: [], 7: ['life7'], 8: [], 9: ['life9'], 10: ['life10', 'super_life10', 'life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 2, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 1, 10: 3}",6,0,1,0,3
63,2.0,1.3,3.3,4,12,"['life3', 'wild', 'life6', 'life3', 'life6', 'life4', 'life10', 'life4', 'super_life4', 'life5', 'super_life7', 'death10']","{'suits': {1: [], 2: [], 3: ['life3', 'life3'], 4: ['life4', 'life4', 'super_life4', 'wild'], 5: ['life5'], 6: ['life6', 'life6'], 7: ['super_life7'], 8: [], 9: [], 10: ['life10', 'death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 2, 4: 4, 5: 1, 6: 2, 7: 1, 8: 0, 9: 0, 10: 2}",10,1,1,0,4
64,1.6,1.1,2.7,3,11,"['wild', 'life3', 'life4', 'life7', 'life3', 'life1', 'life1', 'wild', 'life6', 'super_life7', 'death8']","{'suits': {1: ['life1', 'life1'], 2: [], 3: ['life3', 'life3', 'wild'], 4: ['life4'], 5: [], 6: ['life6'], 7: ['life7', 'super_life7', 'wild'], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 2, 2: 0, 3: 3, 4: 1, 5: 0, 6: 1, 7: 3, 8: 1, 9: 0, 10: 0}",8,2,1,0,3
65,0.0,0.0,0.0,0,1,['death8'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",0,0,1,0,1
