game_number,payout,lifestyle_bonus,total_payout,lifestyle_bonuses,cards_drawn,draw_order,card_stack,suit_counts,life,wild,death,super_death,longest_suit_count
5279,0.3,0.0,0.3,0,4,"['life3', 'life6', 'life4', 'death5']","{'suits': {1: [], 2: [], 3: ['life3'], 4: ['life4'], 5: ['death5'], 6: ['life6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",3,0,1,0,1
5280,3.0,1.2,4.2,8,19,"['life4', 'life3', 'life9', 'life1', 'life5', 'life6', 'super_life2', 'super_life10', 'life7', 'life4', 'life10', 'life7', 'life1', 'life8', 'life7', 'life3', 'life9', 'super_life8', 'death2']","{'suits': {1: ['life1', 'life1'], 2: ['super_life2', 'death2'], 3: ['life3', 'life3'], 4: ['life4', 'life4'], 5: ['life5'], 6: ['life6'], 7: ['life7', 'life7', 'life7'], 8: ['life8', 'super_life8'], 9: ['life9', 'life9'], 10: ['super_life10', 'life10']}, 'wilds': [], 'super_death': []}","{1: 2, 2: 2, 3: 2, 4: 2, 5: 1, 6: 1, 7: 3, 8: 2, 9: 2, 10: 2}",18,0,1,0,3
5281,0.0,0.0,0.0,0,2,"['super_life6', 'super_death']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['super_life6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': ['super_death']}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",1,0,1,1,1
5282,0.2,0.0,0.2,0,2,"['wild', 'death6']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': ['wild'], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",0,1,1,0,1
5283,0.1,0.0,0.1,0,2,"['life3', 'death7']","{'suits': {1: [], 2: [], 3: ['life3'], 4: [], 5: [], 6: [], 7: ['death7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",1,0,1,0,1
5284,0.0,0.0,0.0,0,1,['death4'],"{'suits': {1: [], 2: [], 3: [], 4: ['death4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
5285,0.0,0.0,0.0,0,1,['death6'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
5286,1.5,0.1,1.6,1,8,"['life7', 'life1', 'life5', 'life7', 'life6', 'super_life4', 'super_life10', 'death8']","{'suits': {1: ['life1'], 2: [], 3: [], 4: ['super_life4'], 5: ['life5'], 6: ['life6'], 7: ['life7', 'life7'], 8: ['death8'], 9: [], 10: ['super_life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 1, 5: 1, 6: 1, 7: 2, 8: 1, 9: 0, 10: 1}",7,0,1,0,2
5287,0.2,0.0,0.2,0,3,"['life4', 'life9', 'death1']","{'suits': {1: ['death1'], 2: [], 3: [], 4: ['life4'], 5: [], 6: [], 7: [], 8: [], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0}",2,0,1,0,1
5288,1.5,0.5,2.0,1,7,"['life2', 'super_life9', 'super_life6', 'life3', 'wild', 'life2', 'death4']","{'suits': {1: [], 2: ['life2', 'life2', 'wild'], 3: ['life3'], 4: ['death4'], 5: [], 6: ['super_life6'], 7: [], 8: [], 9: ['super_life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 3, 3: 1, 4: 1, 5: 0, 6: 1, 7: 0, 8: 0, 9: 1, 10: 0}",5,1,1,0,3
